NA_index,news_articles,news_titles,news_ids
10,De Franse Senaat heeft in de nacht van woensdag op donderdag ingestemd met het verhogen van de pensioenleeftijd van 62 naar 64 jaar. Het voorstel kreeg 201 stemmen voor en 115 stemmen tegen.De pensioenleeftijd is het heetste hangijzer in de onrust over de hervormingen van het Franse pensioenbestel. Volgens de regering is dat onbetaalbaar geworden mede omdat er relatief veel meer gepensioneerden zijn. Fransen zijn op meerdere momenten in de afgelopen maanden massaal de straat opgegaan om hun onvrede over de plannen kenbaar te maken. Ook waren er grote stakingen in onder meer het onderwijs en het openbaar vervoer.Donderdag wordt er in de Senaat verder gepraat over de overige voorgestelde hervormingen van het pensioenbestel. Een ander fel bekritiseerd plan is dat Fransen pas na 43 werkjaren een volledig pensioen zullen krijgen. Uiterlijk zondagavond moet er in de Senaat gestemd worden over het gehele pakket aan wijzigingen.,Franse Senaat stemt in met verhoging pensioenleeftijd,7f96a8b55b1f7721d50e6e5f9750162d
11,In een bedrijfspand aan de Nijverheidsweg in Zelhem is in de nacht van dinsdag op woensdag een grote brand uitgebroken. Volgens de veiligheidsregio gaat het om een werkplaats/spuiterij op een industrieterrein van deze Gelderse plaats.Het pand is helemaal met rook gevuld en de brandweer heeft besloten de brand van buitenaf te bestrijden.,Grote brand in bedrijfspand in Gelderse Zelhem,b361b889d71ca9c43515c8aef73767cf
12,De Franse Senaat heeft in de nacht van woensdag op donderdag ingestemd met het verhogen van de pensioenleeftijd van 62 naar 64 jaar. Het voorstel kreeg 201 stemmen voor en 115 stemmen tegen.De pensioenleeftijd is het heetste hangijzer in de onrust over de hervormingen van het Franse pensioenbestel. Volgens de regering is dat onbetaalbaar geworden mede omdat er relatief veel meer gepensioneerden zijn. Fransen zijn op meerdere momenten in de afgelopen maanden massaal de straat opgegaan om hun onvrede over de plannen kenbaar te maken. Ook waren er grote stakingen in onder meer het onderwijs en het openbaar vervoer.Donderdag wordt er in de Senaat verder gepraat over de overige voorgestelde hervormingen van het pensioenbestel. Een ander fel bekritiseerd plan is dat Fransen pas na 43 werkjaren een volledig pensioen zullen krijgen. Uiterlijk zondagavond moet er in de Senaat gestemd worden over het gehele pakket aan wijzigingen.,Franse Senaat stemt in met verhoging pensioenleeftijd,7f96a8b55b1f7721d50e6e5f9750162d
13,"STAD (ANP) - Het al maanden door Rusland belegerde Oost-Oekraïense Bachmoet zou ""de komende dagen"" kunnen worden ingenomen, denkt NAVO-chef Jens Stoltenberg. Russische troepen weten de vrijwel ontvolkte stad steeds verder van de buitenwereld af te snijden, al houdt Oekraïne er vooralsnog stand.""We kunnen niet uitsluiten dat Bachmoet in de komende dagen uiteindelijk zal vallen"", zei Stoltenberg bij aankomst voor overleg met de defensieministers van de EU-landen in Zweden. ""Daarom is het belangrijk te onderstrepen dat dit niet per se een keerpunt in de oorlog vormt.""Rusland zet al maanden alles op alles om Bachmoet te veroveren, met zware verliezen aan beide kanten tot gevolg. Westerse bondgenoten van Oekraïne en militair deskundigen relativeren het belang van de stad, maar de regering in Kyiv steekt toch ook veel in de verdediging. De inmiddels haast met de grond gelijk gemaakte plaats heeft een grote symbolische waarde gekregen.",NAVO-chef: Bachmoet kan komende dagen vallen,e27fe2a58e831cdeaea69d1f95aeeb33
14,"Het kabinet moet uiterlijk september dit jaar met een plan van aanpak komen voor onder meer schadeafhandeling en het bieden van perspectief aan mensen die in het aardbevingsgebied in Groningen wonen. Dat meldden de gemeenteraden, Provinciale Staten en colleges van burgemeesters, wethouders en Gedeputeerde Staten van de aardbevingsregio in de provincie Groningen woensdagavond in Delfzijl.Zij gaven daar een gezamenlijke reactie op de bevindingen van de parlementaire enquête aardgaswinning. Zij riepen ook op om al het leed dat de mensen is aangedaan te compenseren en te investeren in wijken, gemeenschappen en dorpen in het aardbevingsgebied. In de verklaring werd ook gevraagd om voor generaties te investeren in ""veilig wonen en brede welvaart"" en snel duidelijkheid te geven over versterking van gebouwen in het gebied.De parlementaire enquêtecommissie kwam in het rapport in februari tot harde conclusies. De ontstane situatie, waarin Groningers kampen met grote problemen als gevolg van de aardbevingen door gaswinning, werd rampzalig genoemd. Het was niet onontkoombaar dat de gaswinning uitliep op ""ongekend systeemfalen"", concludeerde de commissie. Politiek en de oliemaatschappijen hebben door de jaren heen verscheidene belangrijke signalen gemist en genegeerd.De volksvertegenwoordigers en bestuurders verklaarden in Delfzijl dat de bewoners van het aardbevingsgebied zich door de conclusies van de parlementaire enquêtecommissie eindelijk gehoord voelen. ""De wanhoop, machteloosheid, de scheuren in ziel, huizen en monumenten, het wantrouwen, langslepende procedures, de angst en zorgen van kinderen; een ongekende tragedie nu vastgelegd, zwart op wit"", aldus de voorgelezen verklaring.De Groningse bestuurders en volksvertegenwoordigers riepen de Tweede Kamer op de ""jarenlang opgebouwde ontstane ereschuld aan alle Groningers en generaties die na ons komen te erkennen en in te lossen"".Bij het afsluiten van de bijeenkomst zei burgemeester Ben Visser van de gemeente Eemsdelta, waarvan Delfzijl deel uitmaakt, dat de boodschap aan Den Haag naar zijn idee goed is overgebracht. ""Ik ga uit van vertrouwen. We moeten nu samenwerken om de zaak te fixen.""",Bestuurders eisen uiterlijk september plan voor bevingsgebied (2),ed8125299ee98fa1a8602bcc26d1a298
15,"STAD (ANP) - Het al maanden door Rusland belegerde Oost-Oekraïense Bachmoet zou ""de komende dagen"" kunnen worden ingenomen, denkt NAVO-chef Jens Stoltenberg. Russische troepen weten de vrijwel ontvolkte stad steeds verder van de buitenwereld af te snijden, al houdt Oekraïne er vooralsnog stand.""We kunnen niet uitsluiten dat Bachmoet in de komende dagen uiteindelijk zal vallen"", zei Stoltenberg bij aankomst voor overleg met de defensieministers van de EU-landen in Zweden. ""Daarom is het belangrijk te onderstrepen dat dit niet per se een keerpunt in de oorlog vormt.""Rusland zet al maanden alles op alles om Bachmoet te veroveren, met zware verliezen aan beide kanten tot gevolg. Westerse bondgenoten van Oekraïne en militair deskundigen relativeren het belang van de stad, maar de regering in Kyiv steekt toch ook veel in de verdediging. De inmiddels haast met de grond gelijk gemaakte plaats heeft een grote symbolische waarde gekregen.",NAVO-chef: Bachmoet kan komende dagen vallen,e27fe2a58e831cdeaea69d1f95aeeb33
16,"Het kabinet moet uiterlijk september dit jaar met een plan van aanpak komen voor onder meer schadeafhandeling en het bieden van perspectief aan mensen die in het aardbevingsgebied in Groningen wonen. Dat meldden de gemeenteraden, Provinciale Staten en colleges van burgemeesters, wethouders en Gedeputeerde Staten van de aardbevingsregio in de provincie Groningen woensdagavond in Delfzijl.Zij gaven daar een gezamenlijke reactie op de bevindingen van de parlementaire enquête aardgaswinning. Zij riepen ook op om al het leed dat de mensen is aangedaan te compenseren en te investeren in wijken, gemeenschappen en dorpen in het aardbevingsgebied. In de verklaring werd ook gevraagd om voor generaties te investeren in ""veilig wonen en brede welvaart"" en snel duidelijkheid te geven over versterking van gebouwen in het gebied.De parlementaire enquêtecommissie kwam in het rapport in februari tot harde conclusies. De ontstane situatie, waarin Groningers kampen met grote problemen als gevolg van de aardbevingen door gaswinning, werd rampzalig genoemd. Het was niet onontkoombaar dat de gaswinning uitliep op ""ongekend systeemfalen"", concludeerde de commissie. Politiek en de oliemaatschappijen hebben door de jaren heen verscheidene belangrijke signalen gemist en genegeerd.De volksvertegenwoordigers en bestuurders verklaarden in Delfzijl dat de bewoners van het aardbevingsgebied zich door de conclusies van de parlementaire enquêtecommissie eindelijk gehoord voelen. ""De wanhoop, machteloosheid, de scheuren in ziel, huizen en monumenten, het wantrouwen, langslepende procedures, de angst en zorgen van kinderen; een ongekende tragedie nu vastgelegd, zwart op wit"", aldus de voorgelezen verklaring.De Groningse bestuurders en volksvertegenwoordigers riepen de Tweede Kamer op de ""jarenlang opgebouwde ontstane ereschuld aan alle Groningers en generaties die na ons komen te erkennen en in te lossen"".Bij het afsluiten van de bijeenkomst zei burgemeester Ben Visser van de gemeente Eemsdelta, waarvan Delfzijl deel uitmaakt, dat de boodschap aan Den Haag naar zijn idee goed is overgebracht. ""Ik ga uit van vertrouwen. We moeten nu samenwerken om de zaak te fixen.""",Bestuurders eisen uiterlijk september plan voor bevingsgebied (2),ed8125299ee98fa1a8602bcc26d1a298
17,"Boeren komen zaterdag massaal met bussen en auto's naar het boerenprotest in het Zuiderpark in Den Haag, nu het verboden is om met de trekker te gaan. ""Er worden momenteel heel veel bussen georganiseerd door groepen boeren, maar ook door groepen burgers. Er komen ook veel boeren met het openbaar vervoer"", zegt Sieta van Keimpema van Farmers Defence Force (FDF).De gemeente Den Haag liet eerder deze week weten dat er maximaal twee tractoren bij het protest mogen staan. FDF riep demonstranten op om niet met de tractor naar Den Haag te komen. ""Die trekkers zijn verschrikkelijk duur, die kunnen gewoon in beslag worden genomen"", zegt de woordvoerster. ""Het wordt een vreedzame demonstratie. We laten ons niet provoceren zodat de coalitie dramatische beelden kan laten zien in de media"", vervolgt ze.Keimpema verwacht een opkomst van zeker 50.000 mensen bij de protestactie, ""maar ik hoop op het dubbele."" De boerenactiegroep wilde aanvankelijk met 5000 tractoren naar Den Haag komen. FDF verwacht niet dat boeren zaterdag met de trekker zullen komen, maar sluit niet uit dat ze naar omringende plaatsen uitwijken.De demonstratie begint om 12.00 uur en duurt tot 16.00 uur. De protestactie is volgens FDF niet alleen om de boerenstandpunten naar voren te brengen, zoals over het stikstofbeleid en gedwongen uitkoop van boeren. Maar ook om allerlei andere maatschappelijke problemen onder de aandacht te brengen. Keimpema geeft als voorbeelden mensen die zijn gedupeerd door de toeslagenaffaire en de gascrisis in Groningen.Volgens haar spreken er verschillende politici die het huidige coalitiebeleid ""ook afkeuren"". Het gaat onder meer om Roelof Bisschop van de SGP, Wybren van Haga (BVNL) en PVV-leider Geert Wilders. ""En we zouden ook graag de SP op het podium willen hebben omdat ons protest over alle crises gaat, die de minima en gepensioneerden raken, en de mensen die deze winter in de kou zitten"", zegt Keimpema. Of er een spreker van de SP ook aanwezig is, is nog niet bekend.Overigens zijn de boeren erg boos over het aangekondigde trekkerverbod. ""Het is wéér een verbod dat in strijd is met het recht op demonstratie. Voor ons is de trekker symbool als we willen demonstreren. Maar zodra wij als boeren de weg op willen dan zie je dat burgemeesters zich in alle bochten wringen om die trekkers maar uit beeld te houden. Echt heel kwalijk, heeft niets meer met democratie te maken"", aldus Keimpema.",FDF: boeren massaal met de bus naar Den Haag na trekkerverbod,3e62da1f268b3c5e09282a187b39c722
18,"In Duitsland is een lading illegale tabak voor waterpijpen onderschept. De rookwaar werd van Roemenië naar Nederland gebracht. In totaal ging het om 1008 kilo. De tabak is in beslag genomen.De tabak zat in een bestelbusje, dat werd gecontroleerd aan de grens van Duitsland en Tsjechië, in de buurt van de stad Dresden. De 55-jarige bestuurder zei dat hij levensmiddelen achterin had liggen. Volgens de Duitse douane liet hij een slecht leesbare vrachtbrief zien om dat te bewijzen. Toen de beambten het laadruim controleerden, zagen ze 42 kartonnen dozen. Daarin bleek de tabak te zitten. Doordat de lading niet was aangemeld, liep Duitsland ongeveer 50.000 euro aan accijns mis.",Duitsland onderschept illegale tabak richting Nederland,daa41f79d146a579153508d40c7e8894
19,"De politie registreerde vorig jaar 17 procent meer misdrijven in de regio Amsterdam, maar het aantal misdrijven is nog niet even hoog als voor de coronacrisis. Deze cijfers deelt de Amsterdamse driehoek van burgemeester, hoofdofficier van justitie en politiechef woensdag. Het aanpakken van de georganiseerde criminaliteit is een van de grootste opgaven voor Amsterdam, schrijft burgemeester Femke Halsema namens de driehoek in een raadsbrief. Ook zijn er zorgen over jongeren, die steeds sneller doorgroeien binnen de criminaliteit.De Amsterdamse politie zag in 2022 ongeveer honderd aanslagen met explosieven op woningen en bedrijven. Een fors aantal, aldus de politie in het jaarlijkse trendbeeld. Vooral horecagelegenheden waren het doelwit, maar ook woningen. Dit soort aanslagen komen vaak voort uit conflicten in de georganiseerde drugscriminaliteit. Verder was 2022 een recordjaar met vier cocaïnevangsten in het havengebied van Amsterdam, in totaal ging het om ruim 1500 kilo.Vorig jaar waren er 84.793 geregistreerde delicten in Amsterdam-Amstelland, in 2021 waren dit er 72.538. In 2019, het jaar voor de coronacrisis, ging het om 89.261. Het aantal bij de politie bekende zedenmisdrijven steeg met 24 procent. Deze toename lijkt te maken te hebben met het nieuws rond The Voice of Holland, schrijft Halsema. Slachtoffers durven eerder naar de politie te gaan door de publieke discussie die volgde op onthullingen over seksueel grensoverschrijdend gedrag bij het programma.De georganiseerde drugscriminaliteit is onverminderd zichtbaar in Amsterdam en heeft grote invloed op de veiligheid, aldus Halsema. ""De drugsmisdaad is niet langer een 'ver van je bed' wereld."" Ze spreekt van een verharding, bedreigingen richten zich niet langer alleen op mensen uit het criminele circuit. Als voorbeeld noemt de burgemeester de bedreiging en beveiliging van prinses Amalia en Ferd Grapperhaus, de voormalige minister van Justitie.Minderjarigen zijn verantwoordelijk voor een groot deel van de overlast en ongeregeldheden en plegen een groot deel van de straatroven en overvallen, schrijft Halsema. Ook zijn jongeren betrokken bij drugscriminaliteit. Afgelopen zomer zag de gemeente zorgwekkende trends onder jongeren. Als voorbeeld noemt de burgemeester dat het voorkomt dat kinderen vanaf ongeveer 10 jaar oud gratis snus krijgen aangeboden met het doel ze te ronselen voor criminele activiteiten. Dit is een soort pruimtabak en werkt verslavend. Kinderen bouwen zo een schuld op en worden vervolgens gedwongen opdrachten uit te voeren.","Meer misdrijven geregistreerd in Amsterdam, zorgen over jongeren",0ec7a832afb14267470e69854e129d60
